player|pos|age|tm|g|mp|per|ts_percent|x3pa_rate|fta_rate|orb_percent|drb_percent|trb_percent|ast_percent|stl_percent|blk_percent|tov_percent|usg_percent|ows|dws|ws|ws_48|obpm|dbpm|bpm|vorp
Javonte Smart|PG|24|PHI|1|1|0|NA|NA|NA|0|0|0|0|0|0|NA|0|0|0|0|0.005|-6.2|-2.1|-8.3|0
Marcus Smart|PG|29|MEM|20|605|11.8|0.552|0.565|0.236|1|8.9|4.8|22.7|3.3|0.8|19.2|22.9|-0.5|0.7|0.2|0.02|-3.3|0.9|-2.4|0
Dennis Smith Jr.|PG|26|BRK|56|1059|13.4|0.508|0.322|0.172|5|12.1|8.5|27.3|3.2|1|15.8|17.7|0.5|1.3|1.8|0.08|-2.6|1.8|-0.8|0.3
Dru Smith|SG|26|MIA|9|131|12.8|0.576|0.515|0.061|5.1|7|6.1|15|3.4|2.2|12.9|13.2|0.1|0.2|0.3|0.125|-1.8|3.2|1.4|0.1
Ish Smith|PG|35|CHO|43|741|6.8|0.435|0.051|0.025|1.6|10.2|5.8|26.4|1.1|0.5|22.7|12.3|-0.5|0.2|-0.4|-0.025|-5.6|-1.2|-6.8|-0.9
Jabari Smith Jr.|PF|20|HOU|76|2424|13.8|0.571|0.456|0.222|6.1|21.3|13.6|7.1|1|2.3|8.9|17.6|2.4|3.2|5.6|0.111|-0.5|0.1|-0.4|1
Jalen Smith|C|23|IND|61|1047|20.7|0.682|0.365|0.263|12.1|24.3|18.2|8|0.8|2.9|9.1|19.4|3.1|0.9|4|0.182|3.2|-0.8|2.4|1.2
Nick Smith Jr.|SG|19|CHO|51|729|8.1|0.511|0.505|0.052|2.7|8.6|5.5|12|0.7|0.9|11.7|20.3|-0.6|0.1|-0.5|-0.036|-3.1|-2.8|-5.9|-0.7
Terquavion Smith|PG|21|PHI|16|84|14.8|0.539|0.761|0.109|0|5.4|2.6|22.1|4.7|0|12.7|28.4|0|0.1|0.1|0.05|0.3|0.5|0.8|0.1
Jeremy Sochan|PF|20|SAS|74|2193|11.4|0.513|0.293|0.186|6.7|16.9|11.7|16|1.3|1.5|14.3|18.8|-0.5|1.9|1.4|0.03|-2.8|-0.6|-3.4|-0.8
Pat Spencer|PG|27|GSW|6|26|9.4|0.5|0.5|0|8.4|8.2|8.3|23.3|0|0|20|8.1|0|0|0|0.084|-3.4|-3.1|-6.4|0
